english_sentences,hinglish_sentences
What's the name of the movie,film ka kya naam hai
"Hi, the rotten tomatoes score is great but the meta critic score seems a little low a movie of this quality. ","namaste, sada hua tomatoes score mahaan hai, lekin meta critic score is gunavatta kee philm se thoda kam lagata hai."
Do you think you will like the movie,kya aapako lagata hai ki aapako film pasand aaegee
What kind of movie is it,yah kis tarah kee philm hai
when was the movie made?,film  kab banee thee?
"Wonder woman, I think i would enjoy this movie very much","aashchary hai ki mahila, mujhe lagata hai ki mujhe is film mein bahut maja aaega"
Whats the name of the movie,film ka kya naam hai
It is a action movie set in the DC comic world,yah deesee komik duniya mein sthaapit ek ekshan philm hai
Who stars in the movie,: film mein kaun sitaare hain
the movie was made in 2015,Movie 2015 mein banee thee
did it do well in theaters?,kya isane theaters mein achchha pradarshan kiya?
did I have to see other movies to get it?,Kya mujhe ise paane kelie any movie dekhanee hongee?
"The main character is Gal Gadot, but also stars  Chris Pine, Robin Wright and Danny Huston","Main character Gal gadot hai, lekin Chris pine, Robin wright aur Danny huston bhi hain"
what is the movie about?,Movie ke baare mein kya hai?
No i think this movie is a stand alone piece that you wont need knoledge of other movies to understand it,"Nahin, mujhe lagata hai ki yah movie ek stand alone piece hai jise samajhane ke lie aapako movies  ke knowledge kee aavashyakata nahin hogee"
It is a war movie action movie,Yah ek war moovie ekshan movie hai
Do you think this is a family movie for the kids,Kya aapako lagata hai ki yah bachchon kelie ek paarivaarik movie hai
Are you familiar with any of the actors in the movie?,Kya aap movie ke kisee bhee kalaakaar se parichit hain?
some of them,Thoda malum
I think its acceptable for a family to watch with children,muje lgta hai ki ek faimly mai bacho ke saath dekh sakte hai
even though its about war,ho skta hai wo war ke bare mai
"what kind of color pallet 
 does it tend to use",konse color ki pallet use hui hai
Yes they don't depict much of the war in the movie its more of theme then actually seeing the war,ha vo film ke war ke bare me jada nhi dikhate ha bas war he dikhate hai
so is it dark and cold or bright and action,to wo dark or cold or bright action hai
The movie tries to stop the war not be in it,movies mai war rokne ke bare mai
how can one person stop a war,kaise ek admi war rok skta hai
